# GECK Non-Function Pages Index
# Format: Title | Summary | Categories

Ar BadNumericIndex | ==Example== | Functions_(NVSE); Array Functions; NVSE-Aware Functions
GetWeaponFlags2 | ==Example== | Functions_(NVSE); Weapon Functions; Bit Functions; Functions_(Command Extender); Condition Functions; Engine Differences (Fallout); Functions (FO3); Flag Functions
GetWeaponItemModEffect | ==Example== | Functions_(NVSE); Weapon Functions
GetWeaponItemModValue1 | ==Example== | Functions_(NVSE); Weapon Functions
GetWeaponItemModValue2 | ==Example== | Functions_(NVSE); Weapon Functions
GetWeaponRequiredSkill | ==Example== | Functions_(NVSE); Weapon Functions; Actor Value Functions; Condition Functions
GetWeaponRequiredStrength | ==Example== | Functions_(NVSE); Weapon Functions; Actor Value Functions; Condition Functions
IsEquipped | ==Example== | Functions_(NVSE); Inventory Functions; Inventory Reference Functions
IsLoadDoor | ==Example== | Functions_(NVSE); Door Functions; Functions (ButcherPete FOSE); Functions (FO3)
IsPluginInstalled | ==Example== | Functions_(NVSE); File Functions; Debugging
Let | ==Example== | Commands; Scripting; Functions_(NVSE); Array Functions; String Functions; User Defined Functions; NVSE-Aware_Functions
PickFromList | ==Example== | Functions_(JIP)
PickOneOf | ==Example== | Functions_(NVSE)
PrintDebug | ==Example== | Functions_(NVSE); Debugging; String Functions; NVSE-Aware Functions
SetActorBaseFlagsHigh | ==Example== | Functions_(NVSE); Bit Functions; Flag Functions; Actor Functions
SetActorBaseFlagsLow | ==Example== | Functions_(NVSE); Bit Functions; Flag Functions; Actor Functions
SetBit | ==Example== | Functions_(NVSE); Bit Functions
SetEquipmentBipedMask | ==Bit Fields== | Functions_(NVSE); Bit Functions; Armor Functions
SetEquipmentSlotsMask | ==Example== | Functions_(NVSE); Bit Functions; Armor Functions
SetEquippedWeaponModFlags | ==Example== | Functions_(NVSE); Weapon Functions; Bit Functions; Flag Functions
SetEyesFlags | ==Example== | Functions_(NVSE); Bit Functions; Eye Functions; Flag Functions
SetFlagsHigh | ==Bit fields== | Functions_(NVSE); Bit Functions; Functions_(Command Extender); Flag Functions
SetFlagsLow | ==Bit fields== | Functions_(NVSE); Bit Functions; Functions_(Command Extender); Flag Functions
SetHairFlags | ==Example== | Functions_(NVSE); Bit Functions; Hair Functions; Flag Functions
SetIsPlayable | ==Example== | Functions_(NVSE)
SetModelPathEx | ==Example== | Functions_(NVSE); String Functions; Model Functions; File Functions
SetWeaponFlags1 | ==Example== | Functions_(NVSE); Weapon Functions; Bit Functions; Functions_(Command Extender); Flag Functions
SetWeaponFlags2 | ==Example== | Functions_(NVSE); Weapon Functions; Bit Functions; Flag Functions; Functions_(Command Extender); Engine Differences (Fallout)
SetWeaponRequiredSkill | ==Example== | Functions_(NVSE); Weapon Functions; Actor Value Functions
SetWeaponRequiredStrength | ==Example== | Functions_(NVSE); Weapon Functions; Actor Value Functions
SetWeaponSkill | ==Example== | Functions_(NVSE); Weapon Functions; Actor Value Functions
ShowCaravanMenu | This will initiate a game of caravan with Jack, with Jack using CaravanDeckJack, playing with a difficulty rating 0 out of 3, and betting at maximum 30% of the currency he holds. | Functions (Vegas); Functions; UI Functions
SkipAnim | Link to UESP Construction Set Wiki: [https://cs.uesp.net/wiki/SkipAnim SkipAnim]. | Functions (GECK); Functions; Animation Functions
StartMisterSandman | Used in the Mister Sandman perk's Activate script to play the associated animation and sound. | Functions (GECK); Functions
TestExpr | ==Example== | Functions_(NVSE); Debugging; NVSE-Aware Functions
V3Normalize | ==Example== | Functions_(NVSE); Algohol Functions; Math Functions
